Timestamp,Container,Status,CPU%,Memory_MB,Memory%,Restart_Count,Trade_Count,Decision_Count,Error_Count
2025-10-10 22:09:36,ngtradingbot_redis,RUNNING,0.47,11.22,0.01,0,0,0,0
2025-10-10 22:09:38,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:09:40,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:10:42,ngtradingbot_server,RUNNING,10.16,161.8,0.17,0,,,336
2025-10-10 22:10:44,ngtradingbot_db,RUNNING,6.59,135.6,0.14,0,0,0,0
2025-10-10 22:10:46,ngtradingbot_redis,RUNNING,0.48,11.33,0.01,0,0,0,0
2025-10-10 22:10:48,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:10:50,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:11:51,ngtradingbot_server,RUNNING,9.97,161.6,0.17,0,,,332
2025-10-10 22:11:53,ngtradingbot_db,RUNNING,8.21,134,0.14,0,0,0,0
2025-10-10 22:11:55,ngtradingbot_redis,RUNNING,0.44,11.76,0.01,0,0,0,0
2025-10-10 22:11:57,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:11:59,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:13:01,ngtradingbot_server,RUNNING,14.00,161.6,0.17,0,,,320
2025-10-10 22:13:03,ngtradingbot_db,RUNNING,6.66,135.4,0.14,0,0,0,0
2025-10-10 22:13:05,ngtradingbot_redis,RUNNING,1.13,11.71,0.01,0,0,0,0
2025-10-10 22:13:07,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:13:09,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:14:11,ngtradingbot_server,RUNNING,9.07,161.8,0.17,0,,,313
2025-10-10 22:14:13,ngtradingbot_db,RUNNING,5.28,135.5,0.14,0,0,0,0
2025-10-10 22:14:15,ngtradingbot_redis,RUNNING,0.52,11.84,0.01,0,0,0,0
2025-10-10 22:14:17,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:14:19,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:15:20,ngtradingbot_server,RUNNING,9.16,114.4,0.12,0,,,318
2025-10-10 22:15:22,ngtradingbot_db,RUNNING,2.91,109.1,0.11,0,0,0,0
2025-10-10 22:15:24,ngtradingbot_redis,RUNNING,0.49,11.98,0.01,0,0,0,0
2025-10-10 22:15:26,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:15:28,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:16:30,ngtradingbot_server,RUNNING,11.57,150.1,0.16,0,,,5
2025-10-10 22:16:32,ngtradingbot_db,RUNNING,4.15,115.7,0.12,0,0,0,0
2025-10-10 22:16:34,ngtradingbot_redis,RUNNING,0.48,12.17,0.01,0,0,0,0
2025-10-10 22:16:36,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:16:38,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:17:40,ngtradingbot_server,RUNNING,37.37,163.6,0.17,0,,,11
2025-10-10 22:17:42,ngtradingbot_db,RUNNING,3.57,125.9,0.13,0,0,0,0
2025-10-10 22:17:44,ngtradingbot_redis,RUNNING,0.49,12.29,0.01,0,0,0,0
2025-10-10 22:17:46,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:17:48,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
